Code,Name,Purchase Price,Tax,Retail Price,Category Code
PRO142,BATTERY DELL NOTEBOOK A 860,0,0,0,BATTERY
PRO143,BATTERY DELL NOTEBOOK E 5420,0,0,0,BATTERY
PRO144,BATTERY DELL NOTEBOOK E 6220,0,0,0,BATTERY
PRO145,BATTERY DELL NOTEBOOK E5440,0,0,0,BATTERY
PRO146,BATTERY DELL NOTEBOOK Ins. 1000,0,0,0,BATTERY
PRO147,BATTERY DELL NOTEBOOK N3451,0,0,0,BATTERY
PRO148,BATTERY DELL NOTEBOOK VOSTO 3300,0,0,0,BATTERY
PRO149,BATTERY DELL NOTEBOOK VOSTRO 1440,0,0,0,BATTERY
PRO150,BATTERY DELL NOTEBOOK VOSTRO-130,0,0,0,BATTERY
PRO151,BATTERY FUJITSU NOTEBOOK C3K8,0,0,0,BATTERY
PRO152,BATTERY FUJITSU NOTEBOOK FPCBP 96,0,0,0,BATTERY
PRO153,BATTERY FUJITSU NOTEBOOK L 840,0,0,0,BATTERY
PRO154,BATTERY FUJITSU NOTEBOOK LH 530,0,0,0,BATTERY
PRO155,BATTERY FUJITSU NOTEBOOK LH 531,0,0,0,BATTERY
PRO156,BATTERY FUJITSU NOTEBOOK LH 532,0,0,0,BATTERY
PRO157,BATTERY FUJITSU NOTEBOOK SQU 905,0,0,0,BATTERY
PRO158,BATTERY HP NOTEBOOK 240 g2,0,0,0,BATTERY
PRO159,BATTERY HP NOTEBOOK 240G2/HS04,0,0,0,BATTERY
PRO160,BATTERY HP NOTEBOOK 2710 P,0,0,0,BATTERY
PRO161,BATTERY HP NOTEBOOK 430 G1,0,0,0,BATTERY
PRO162,BATTERY HP NOTEBOOK 4310 s,0,0,0,BATTERY
PRO163,BATTERY HP NOTEBOOK 440 G2 / 450 G2 / V104,0,0,0,BATTERY
PRO164,BATTERY HP NOTEBOOK 4410 s,0,0,0,BATTERY
PRO165,BATTERY HP NOTEBOOK 4440s/4430s/4330s,0,0,0,BATTERY
PRO166,BATTERY HP NOTEBOOK 450 G1,0,0,0,BATTERY
PRO167,BATTERY HP NOTEBOOK 4710 s,0,0,0,BATTERY
PRO168,BATTERY HP NOTEBOOK 5000,0,0,0,BATTERY
PRO169,BATTERY HP NOTEBOOK 6460 B,0,0,0,BATTERY
PRO170,BATTERY HP NOTEBOOK 6520 s,0,0,0,BATTERY
PRO171,BATTERY HP NOTEBOOK 6520 s,0,0,0,BATTERY
PRO172,BATTERY HP NOTEBOOK 6930 p,0,0,0,BATTERY
PRO173,BATTERY HP NOTEBOOK CQ - 40/45,0,0,0,BATTERY
